market_index,market_symbol,oracle_price,market_type
0,USDC,0.9998500100000001,spot
1,SOL,83.926,spot
2,mSOL,114.36896699,spot
3,wBTC,68000.55977602,spot
4,wETH,2127.43332037,spot
5,USDT,0.99970479,spot
6,jitoSOL,106.51000004000001,spot
7,PYTH,0.03954425,spot
8,bSOL,107.84858589,spot
9,JTO,0.27626336,spot
10,WIF,0.18519259,spot
11,JUP,0.15857311000000002,spot
12,RENDER,1.78400277,spot
13,W,0.01474425,spot
14,TNSR,0.03875368,spot
15,DRIFT,0.055150000000000005,spot
16,INF,118.23461319,spot
17,dSOL,99.40969461,spot
18,USDY,1.12630999,spot
19,JLP,3.72874017,spot
20,POPCAT,0.048471,spot
21,CLOUD,0.03538695,spot
22,PYUSD,0.99992552,spot
23,USDe,0.99938854,spot
24,sUSDe,1.22436254,spot
25,BNSOL,92.7848516,spot
26,MOTHER,0.00092568,spot
27,cbBTC,68104.90361585,spot
28,USDS,0.99932982,spot
29,META,2713.489426,spot
30,ME,0.10075828,spot
31,PENGU,0.00659053,spot
32,BONK,0.0000059249,spot
33,JLP-1,3.73360545,spot
34,USDC-1,0.9998500100000001,spot
35,AI16Z,0.023657,spot
36,TRUMP,2.98291004,spot
37,MELANIA,0.11322534000000001,spot
38,AUSD,0.9999292000000001,spot
39,FARTCOIN,0.16523,spot
40,JitoSOL-3,106.51000004000001,spot
41,PT-fragSOL-10JUL25-3,83.926,spot
42,PT-kySOL-15JUN25-3,83.926,spot
43,PT-dSOL-30JUN25-3,83.926,spot
44,JTO,0.27626336,spot
45,zBTC,68010.12267945,spot
46,ZEUS,0.00823113,spot
47,USDC-4,0.9998500100000001,spot
48,USDT-4,0.99970479,spot
49,SOL-2,83.926,spot
50,JitoSOL-2,106.51000004000001,spot
51,JTO-2,0.27626336,spot
52,dfdvSOL,89.31117918,spot
53,sACRED,0,spot
54,EURC,1.15856946,spot
55,PT-fragSOL-31OCT25-3,83.926,spot
56,PUMP,0.00170098,spot
57,syrupUSDC,1.15794011,spot
58,LBTC,68310.04416646001,spot
59,2Z,0.07802401,spot
60,MET,0.14170635,spot
61,CASH,0.99963004,spot
62,USD1,0.99955382,spot
0,SOL-PERP,83.926,perp
1,BTC-PERP,68094.54152316,perp
2,ETH-PERP,2127.43332037,perp
3,APT-PERP,0.90521627,perp
4,1MBONK-PERP,5.9249,perp
5,POL-PERP,0.0940195,perp
6,ARB-PERP,0.09451907,perp
7,DOGE-PERP,0.09256,perp
8,BNB-PERP,613.21343621,perp
9,SUI-PERP,0.89603785,perp
10,1MPEPE-PERP,3.4277000000000002,perp
11,OP-PERP,0.11071840000000001,perp
12,RENDER-PERP,1.78400277,perp
13,XRP-PERP,1.3479725,perp
14,HNT-PERP,1.07323527,perp
15,INJ-PERP,2.89150003,perp
16,LINK-PERP,8.98021442,perp
17,RLB-PERP,0.06327582,perp
18,PYTH-PERP,0.03954425,perp
19,TIA-PERP,0.29978357,perp
20,JTO-PERP,0.27626336,perp
21,SEI-PERP,0.05373318,perp
22,AVAX-PERP,9.14350022,perp
23,WIF-PERP,0.18519259,perp
24,JUP-PERP,0.15857311000000002,perp
25,DYM-PERP,0.02484238,perp
26,TAO-PERP,316.59461507000003,perp
27,W-PERP,0.01474425,perp
28,KMNO-PERP,0.01752533,perp
29,TNSR-PERP,0.03875368,perp
30,DRIFT-PERP,0.055150000000000005,perp
31,CLOUD-PERP,0.03538695,perp
32,IO-PERP,0.10846639,perp
33,ZEX-PERP,0.031525450000000003,perp
34,POPCAT-PERP,0.048471,perp
35,1KWEN-PERP,0.0048613,perp
42,TON-PERP,1.2291633100000001,perp
44,MOTHER-PERP,0.00092568,perp
45,MOODENG-PERP,0.04727505,perp
47,DBR-PERP,0.014756114300000001,perp
51,1KMEW-PERP,0.57689,perp
52,MICHI-PERP,0.00105043,perp
53,GOAT-PERP,0.0177877179,perp
54,FWOG-PERP,0.00520561,perp
55,PNUT-PERP,0.04083416,perp
56,RAY-PERP,0.67045034,perp
59,HYPE-PERP,36.31822139,perp
60,LTC-PERP,54.14537832,perp
61,ME-PERP,0.10075828,perp
62,PENGU-PERP,0.00659053,perp
63,AI16Z-PERP,0.023657,perp
64,TRUMP-PERP,2.98291004,perp
65,MELANIA-PERP,0.11322534000000001,perp
66,BERA-PERP,0.43828277,perp
69,KAITO-PERP,0.40097377,perp
70,IP-PERP,0.51834271,perp
71,FARTCOIN-PERP,0.16511023,perp
72,ADA-PERP,0.24842865,perp
73,PAXG-PERP,4743.7019306,perp
75,PUMP-PERP,0.00170098,perp
74,LAUNCHCOIN-PERP,0.000588,perp
76,ASTER-PERP,0.6724923700000001,perp
77,XPL-PERP,0.10586144,perp
78,2Z-PERP,0.07802401,perp
79,ZEC-PERP,245.67804710000001,perp
80,MNT-PERP,0.70120002,perp
81,1KPUMP-PERP,1.70098,perp
82,MET-PERP,0.14170635,perp
83,1KMON-PERP,24.74999,perp
84,LIT-PERP,0.895,perp
85,BP-PERP,0.152199,perp
